0x809b10,Name,Description,Use Description,Item Number,Weapon Type,Attributes,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Might,Hit,Weight,Crit,Range (Min-Max),Cost Per Use,Weapon Rank,Item Icon Index,Staff/Use Effect,Weapon Effect,Weapon Experience,##UNKNOWN##
Killer Axe,0x37f,0x42f,0x0,0x24,W_AXE,WA_WEAPON,0x0,0x0,20,11,65,11,30,0x11,50,WR_C,0x23,0x0,WE_NONE,1,0x0
Halberd,0x380,0x430,0x0,0x25,W_AXE,WA_WEAPON,0x0,0x88adee0,18,10,60,15,0,0x11,45,WR_D,0x24,0x0,WE_NONE,1,0x0
Hammer,0x381,0x431,0x0,0x26,W_AXE,WA_WEAPON,0x0,0x88adebb,20,10,55,15,0,0x11,40,WR_D,0x25,0x0,WE_NONE,2,0x0
Devil Axe,0x382,0x432,0x0,0x27,W_AXE,WA_WEAPON,0x0,0x0,20,18,55,18,0,0x11,45,WR_E,0x26,0x0,WE_DEVIL,8,0x0
Hand Axe,0x383,0x433,0x0,0x28,W_AXE,WA_WEAPON,0x0,0x0,20,7,60,12,0,0x12,15,WR_E,0x27,0x0,WE_NONE,1,0x0
Tomahawk,0x384,0x434,0x0,0x29,W_AXE,WA_WEAPON,0x0,0x0,15,13,65,14,0,0x12,200,WR_A,0x28,0x0,WE_NONE,1,0x0
Swordreaver,0x385,0x435,0x0,0x2a,W_AXE,WA_WEAPON | WA_REVERTTRIANGLE,0x0,0x0,15,11,65,13,5,0x11,140,WR_C,0x29,0x0,WE_NONE,2,0x0
Swordbreaker,0x386,0x436,0x0,0x2b,W_AXE,WA_WEAPON | WA_REVERTTRIANGLE,0x0,0x88aded7,20,11,80,13,5,0x11,100,WR_C,0x2a,0x0,WE_NONE,1,0x0
Hatchet,0x38a,0x43a,0x0,0x2c,W_AXE,WA_WEAPON,0x0,0x0,50,4,85,5,0,0x12,0,WR_E,0xb9,0x0,WE_NONE,1,0x0
Iron Bow,0x38b,0x43b,0x0,0x2d,W_BOW,WA_WEAPON,0x0,0x88adf2a,45,6,85,5,0,0x22,12,WR_E,0x2b,0x0,WE_NONE,1,0x0
Steel Bow,0x38c,0x43c,0x0,0x2e,W_BOW,WA_WEAPON,0x0,0x88adf2a,30,9,70,9,0,0x22,24,WR_D,0x2c,0x0,WE_NONE,1,0x0
Silver Bow,0x38d,0x43d,0x0,0x2f,W_BOW,WA_WEAPON,0x0,0x88adf2a,20,13,75,6,0,0x22,80,WR_A,0x2d,0x0,WE_NONE,1,0x0
Poison Bow,0x38e,0x43e,0x0,0x30,W_BOW,WA_WEAPON,0x0,0x88adf2a,40,4,65,5,0,0x22,0,WR_D,0x2e,0x0,WE_POISON,1,0x0
Killer Bow,0x38f,0x43f,0x0,0x31,W_BOW,WA_WEAPON,0x0,0x88adf2a,20,9,75,7,30,0x22,70,WR_C,0x2f,0x0,WE_NONE,1,0x0
Brave Bow,0x390,0x440,0x0,0x32,W_BOW,WA_WEAPON | WA_BRAVE,0x0,0x88adf2a,30,10,70,12,0,0x22,250,WR_B,0x30,0x0,WE_NONE,1,0x0
Short Bow,0x391,0x441,0x0,0x33,W_BOW,WA_WEAPON,0x0,0x88adf2a,22,5,85,3,10,0x22,80,WR_D,0x31,0x0,WE_NONE,2,0x0
Longbow,0x392,0x442,0x0,0x34,W_BOW,WA_WEAPON,0x0,0x88adf2a,20,5,65,10,0,0x23,100,WR_D,0x32,0x0,WE_NONE,1,0x0
Ballista,0x393,0x443,0x0,0x35,W_BOW,WA_WEAPON | WA_UNCOUNTERABLE,0x0,0x88adf2a,5,8,60,20,0,0x3a,0,WR_E,0x33,0x0,WE_NONE,4,0x0
Iron Ballista,0x394,0x444,0x0,0x36,W_BOW,WA_WEAPON | WA_UNCOUNTERABLE,0x0,0x88adf2a,5,13,60,20,0,0x3f,0,WR_E,0x34,0x0,WE_NONE,4,0x0
Killer Ballista,0x395,0x445,0x0,0x37,W_BOW,WA_WEAPON | WA_UNCOUNTERABLE,0x0,0x88adf2a,5,12,65,20,10,0x3a,0,WR_E,0x35,0x0,WE_NONE,4,0x0
Fire,0x3a9,0x458,0x0,0x38,W_ANIMA,WA_WEAPON | WA_MAGIC,0x0,0x0,40,5,90,4,0,0x12,14,WR_E,0x36,0x0,WE_NONE,1,0x0
Thunder,0x3aa,0x459,0x0,0x39,W_ANIMA,WA_WEAPON | WA_MAGIC,0x0,0x0,35,8,80,6,5,0x12,20,WR_D,0x37,0x0,WE_NONE,1,0x0
Elfire,0x3ab,0x45a,0x0,0x3a,W_ANIMA,WA_WEAPON | WA_MAGIC,0x0,0x0,30,10,85,10,0,0x12,40,WR_C,0x38,0x0,WE_NONE,2,0x0
Bolting,0x3ad,0x45c,0x0,0x3b,W_ANIMA,WA_WEAPON | WA_MAGIC | WA_UNCOUNTERABLE,0x0,0x0,5,12,60,20,0,0x3a,500,WR_B,0x39,0x0,WE_NONE,1,0x0
Fimbulvetr,0x3ae,0x45d,0x0,0x3c,W_ANIMA,WA_WEAPON | WA_MAGIC,0x0,0x0,20,13,80,12,0,0x12,300,WR_A,0x3a,0x0,WE_NONE,1,0x0
(Forblaze),0x403,0x4ab,0x0,0x3d,W_ANIMA,WA_WEAPON | WA_MAGIC,0x0,0x0,20,14,85,11,5,0x12,0,WR_S,0x3b,0x0,WE_NONE,1,0x0
Excalibur,0x3af,0x45e,0x0,0x3e,W_ANIMA,WA_WEAPON | WA_MAGIC | WA_UNSELLABLE,0x88aeec4,0x88adf39,30,18,90,13,10,0x12,0,WR_S,0x3c,0x0,WE_NONE,1,0x0
Lightning,0x3b0,0x45f,0x0,0x3f,W_LIGHT,WA_WEAPON | WA_MAGIC,0x0,0x0,35,4,95,6,5,0x12,18,WR_E,0x3d,0x0,WE_NONE,1,0x0
Shine,0x3b1,0x460,0x0,0x40,W_LIGHT,WA_WEAPON | WA_MAGIC,0x0,0x0,30,6,90,8,8,0x12,30,WR_D,0x3e,0x0,WE_NONE,2,0x0
Divine,0x3b2,0x461,0x0,0x41,W_LIGHT,WA_WEAPON | WA_MAGIC,0x0,0x0,25,8,85,12,10,0x12,100,WR_C,0x3f,0x0,WE_NONE,1,0x0
Purge,0x3b3,0x462,0x0,0x42,W_LIGHT,WA_WEAPON | WA_MAGIC | WA_UNCOUNTERABLE,0x0,0x0,5,10,75,20,5,0x3a,600,WR_B,0x40,0x0,WE_NONE,3,0x0
Aura,0x3b4,0x463,0x0,0x43,W_LIGHT,WA_WEAPON | WA_MAGIC,0x0,0x0,20,12,85,15,15,0x12,400,WR_A,0x41,0x0,WE_NONE,1,0x0
(Luce),0x403,0x4ab,0x0,0x44,W_LIGHT,WA_WEAPON | WA_MAGIC,0x0,0x88adf13,20,6,85,10,0,0x12,200,WR_B,0x42,0x0,WE_NONE,3,0x0
Flux,0x3b6,0x465,0x0,0x45,W_DARK,WA_WEAPON | WA_MAGIC,0x0,0x0,45,7,80,8,0,0x12,20,WR_D,0x43,0x0,WE_NONE,1,0x0
Luna,0x3b7,0x466,0x0,0x46,W_DARK,WA_WEAPON | WA_MAGIC | WA_NEGATE_DEFENSE,0x0,0x0,30,0,50,12,10,0x12,140,WR_C,0x44,0x0,WE_NONE,1,0x0
Nosferatu,0x3b8,0x467,0x0,0x47,W_DARK,WA_WEAPON | WA_MAGIC,0x0,0x0,20,10,70,14,0,0x12,160,WR_C,0x45,0x0,WE_HPDRAIN,1,0x0
Eclipse,0x3b9,0x468,0x0,0x48,W_DARK,WA_WEAPON | WA_MAGIC | WA_UNCOUNTERABLE,0x0,0x0,5,255,30,12,0,0x3a,800,WR_B,0x46,0x0,WE_HPHALF,8,0x0
Fenrir,0x3ba,0x469,0x0,0x49,W_DARK,WA_WEAPON | WA_MAGIC,0x0,0x0,20,15,70,18,0,0x12,450,WR_A,0x47,0x0,WE_NONE,1,0x0
Gleipnir,0x3bb,0x46a,0x0,0x4a,W_DARK,WA_WEAPON | WA_MAGIC | WA_UNSELLABLE,0x88aeed0,0x0,30,23,80,20,0,0x12,0,WR_S,0xbc,0x0,WE_NONE,3,0x0
Heal,0x3c2,0x471,0x4af,0x4b,W_STAFF,WA_STAFF,0x0,0x0,30,0,100,2,0,0x11,20,WR_E,0x49,0x1,WE_NONE,2,0x0
Mend,0x3c3,0x472,0x4b0,0x4c,W_STAFF,WA_STAFF,0x0,0x0,20,0,100,4,0,0x11,50,WR_D,0x4a,0x2,WE_NONE,3,0x0
Recover,0x3c4,0x473,0x4b1,0x4d,W_STAFF,WA_STAFF,0x0,0x0,15,0,100,6,0,0x11,150,WR_C,0x4b,0x3,WE_NONE,3,0x0
Physic,0x3c5,0x474,0x4b2,0x4e,W_STAFF,WA_STAFF,0x0,0x0,15,0,100,5,0,0x10,250,WR_B,0x4c,0x4,WE_NONE,3,0x0
Fortify,0x3c6,0x475,0x4b3,0x4f,W_STAFF,WA_STAFF,0x0,0x0,8,0,100,7,0,0x10,1000,WR_A,0x4d,0x5,WE_NONE,5,0x0
Restore,0x3c7,0x476,0x4b4,0x50,W_STAFF,WA_STAFF,0x0,0x0,10,0,100,4,0,0x11,200,WR_C,0x4e,0x6,WE_NONE,3,0x0
Silence,0x3c8,0x477,0x4b5,0x51,W_STAFF,WA_STAFF,0x0,0x0,3,0,70,7,0,0x10,400,WR_B,0x4f,0x7,WE_NONE,5,0x0
Sleep,0x3c9,0x478,0x4b6,0x52,W_STAFF,WA_STAFF,0x0,0x0,3,0,65,8,0,0x10,500,WR_B,0x50,0x8,WE_NONE,5,0x0
Berserk,0x3ca,0x479,0x4b7,0x53,W_STAFF,WA_STAFF,0x0,0x0,3,0,60,8,0,0x10,600,WR_B,0x51,0x9,WE_NONE,5,0x0
Warp,0x3cb,0x47a,0x4b8,0x54,W_STAFF,WA_STAFF,0x0,0x0,5,0,100,5,0,0x11,1500,WR_A,0x52,0xa,WE_NONE,7,0x0
Rescue,0x3cc,0x47b,0x4b9,0x55,W_STAFF,WA_STAFF,0x0,0x0,3,0,100,6,0,0x10,600,WR_B,0x53,0xb,WE_NONE,7,0x0
Torch Staff,0x3cd,0x47c,0x4ba,0x56,W_STAFF,WA_STAFF,0x0,0x0,10,0,100,5,0,0x10,100,WR_D,0x54,0xc,WE_NONE,5,0x0
Hammerne,0x3ce,0x47d,0x4bb,0x57,W_STAFF,WA_STAFF | WA_HAMMERNE,0x0,0x0,3,0,100,7,0,0x11,600,WR_C,0x55,0xd,WE_NONE,8,0x0
Unlock,0x3cf,0x47e,0x4bc,0x58,W_STAFF,WA_STAFF,0x0,0x0,10,0,100,7,0,0x12,150,WR_D,0x56,0xe,WE_NONE,5,0x0
Barrier,0x3d0,0x47f,0x4bd,0x59,W_STAFF,WA_STAFF,0x0,0x0,15,0,100,4,0,0x11,150,WR_C,0x57,0xf,WE_NONE,4,0x0
Dragon Axe,0x387,0x437,0x0,0x5a,W_AXE,WA_WEAPON,0x0,0x88adf13,30,12,60,11,0,0x11,150,WR_C,0x58,0x0,WE_NONE,1,0x0
Angelic Robe,0x3d4,0x483,0x4c1,0x5b,W_ITEM,WA_NONE,0x88aeedc,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x59,0x10,WE_NONE,0,0x0
Energy Ring,0x3d5,0x484,0x4c2,0x5c,W_ITEM,WA_NONE,0x88aeee8,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x5a,0x11,WE_NONE,0,0x0
Secret Book,0x3d6,0x485,0x4c3,0x5d,W_ITEM,WA_NONE,0x88aeef4,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x5b,0x12,WE_NONE,0,0x0
Speed Wing,0x3d7,0x486,0x4c4,0x5e,W_ITEM,WA_NONE,0x88aef00,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x5c,0x13,WE_NONE,0,0x0
Goddess Icon,0x3d8,0x487,0x4c5,0x5f,W_ITEM,WA_NONE,0x88aef0c,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x5d,0x14,WE_NONE,0,0x0
Dragon Shield,0x3d9,0x488,0x4c6,0x60,W_ITEM,WA_NONE,0x88aef18,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x5e,0x15,WE_NONE,0,0x0
Talisman,0x3da,0x489,0x4c7,0x61,W_ITEM,WA_NONE,0x88aef24,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x5f,0x16,WE_NONE,0,0x0
Boots,0x3db,0x48a,0x4c8,0x62,W_ITEM,WA_NONE,0x88aef30,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x60,0x17,WE_NONE,0,0x0
Body Ring,0x3dc,0x48b,0x4c9,0x63,W_ITEM,WA_NONE,0x88aef3c,0x0,1,0,0,0,0,0x11,8000,WR_NONE,0x61,0x18,WE_NONE,0,0x0
Hero's Crest,0x3dd,0x48c,0x4ca,0x64,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,10000,WR_NONE,0x62,0x19,WE_NONE,0,0x0
Knight's Crest,0x3de,0x48d,0x4cb,0x65,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,10000,WR_NONE,0x63,0x1a,WE_NONE,0,0x0
Orion's Bolt,0x3df,0x48e,0x4cc,0x66,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,10000,WR_NONE,0x64,0x1b,WE_NONE,0,0x0
Elysian Whip,0x3e0,0x48f,0x4cd,0x67,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,10000,WR_NONE,0x65,0x1c,WE_NONE,0,0x0
Guiding Ring,0x3e1,0x490,0x4ce,0x68,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,10000,WR_NONE,0x66,0x1d,WE_NONE,0,0x0
Chest Key,0x3e2,0x491,0x4cf,0x69,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,300,WR_NONE,0x67,0x1e,WE_NONE,0,0x0
Door Key,0x3e3,0x492,0x4d0,0x6a,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,50,WR_NONE,0x68,0x1f,WE_NONE,0,0x0
Lockpick,0x3e4,0x493,0x4d1,0x6b,W_ITEM,WA_NONE,0x0,0x0,15,0,0,0,0,0x11,80,WR_NONE,0x69,0x20,WE_NONE,0,0x0
Vulnerary,0x3e5,0x494,0x4d2,0x6c,W_ITEM,WA_NONE,0x0,0x0,3,0,0,0,0,0x11,100,WR_NONE,0x6a,0x21,WE_NONE,0,0x0
Elixir,0x3e6,0x495,0x4d3,0x6d,W_ITEM,WA_NONE,0x0,0x0,3,0,0,0,0,0x11,1000,WR_NONE,0x6b,0x22,WE_NONE,0,0x0
Pure Water,0x3e7,0x496,0x4d4,0x6e,W_ITEM,WA_NONE,0x0,0x0,3,0,0,0,0,0x11,300,WR_NONE,0x6c,0x23,WE_NONE,0,0x0
Antitoxin,0x3e8,0x497,0x4d5,0x6f,W_ITEM,WA_NONE,0x0,0x0,3,0,0,0,0,0x11,150,WR_NONE,0x6d,0x24,WE_NONE,0,0x0
Torch,0x3e9,0x498,0x4d6,0x70,W_ITEM,WA_NONE,0x0,0x0,5,0,0,0,0,0x11,100,WR_NONE,0x6e,0x25,WE_NONE,0,0x0
Delphi Shield,0x3ea,0x499,0x4d7,0x71,W_ITEM,WA_UNBREAKABLE | WA_NEGATE_FLYING,0x0,0x0,0,0,0,0,0,0x11,10000,WR_NONE,0xda,0x0,WE_NONE,0,0x0
Member Card,0x3eb,0x49a,0x4d8,0x72,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,6000,WR_NONE,0x84,0x0,WE_NONE,0,0x0
Silver Card,0x3ec,0x49b,0x4d9,0x73,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,4000,WR_NONE,0x85,0x0,WE_NONE,0,0x0
White Gem,0x3ef,0x49e,0x0,0x74,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,20000,WR_NONE,0x86,0x0,WE_NONE,0,0x0
Blue Gem,0x3f0,0x49f,0x0,0x75,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,10000,WR_NONE,0x87,0x0,WE_NONE,0,0x0
Red Gem,0x3f1,0x4a0,0x0,0x76,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,5000,WR_NONE,0x88,0x0,WE_NONE,0,0x0
Gold,0x3f2,0x4a1,0x4da,0x77,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,0,WR_NONE,0x89,0x0,WE_NONE,0,0x0
Reginleif,0x374,0x424,0x0,0x78,W_LANCE,WA_WEAPON | WA_UNSELLABLE | WA_LOCK_EPHRAIM,0x0,0x88adec2,45,10,80,8,10,0x11,160,WR_NONE,0xb3,0x0,WE_NONE,2,0x0
Chest Key (5),0x3e2,0x491,0x4cf,0x79,W_ITEM,WA_NONE,0x0,0x0,5,0,0,0,0,0x11,300,WR_NONE,0x67,0x26,WE_NONE,0,0x0
(Mine),0x403,0x4ab,0x0,0x7a,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,500,WR_NONE,0x8c,0x27,WE_NONE,0,0x0
(Light Rune),0x403,0x4ab,0x0,0x7b,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,800,WR_NONE,0x8d,0x28,WE_NONE,0,0x0
Hoplon Shield,0x3f3,0x4a4,0x4dd,0x7c,W_ITEM,WA_UNBREAKABLE | WA_NEGATE_CRIT,0x0,0x0,0,0,0,0,0,0x11,5000,WR_NONE,0xdb,0x0,WE_NONE,0,0x0
(Filla's Might),0x403,0x4ab,0x0,0x7d,W_DANCERING,WA_HAMMERNE,0x0,0x0,15,0,0,0,0,0x11,0,WR_NONE,0x8f,0x29,WE_NONE,0,0x0
(Ninis's Grace),0x403,0x4ab,0x0,0x7e,W_DANCERING,WA_HAMMERNE,0x0,0x0,15,0,0,0,0,0x11,0,WR_NONE,0x90,0x2a,WE_NONE,0,0x0
(Thor's Ire),0x403,0x4ab,0x0,0x7f,W_DANCERING,WA_HAMMERNE,0x0,0x0,15,0,0,0,0,0x11,0,WR_NONE,0x91,0x2b,WE_NONE,0,0x0
(Set's Litany),0x403,0x4ab,0x0,0x80,W_DANCERING,WA_HAMMERNE,0x0,0x0,15,0,0,0,0,0x11,0,WR_NONE,0x92,0x2c,WE_NONE,0,0x0
Shadow Killer,0x3a4,0x454,0x0,0x81,W_SWORD,WA_WEAPON,0x0,0x88adf39,60,5,90,5,5,0x11,0,WR_E,0x93,0x0,WE_NONE,1,0x0
Bright Lance,0x3a5,0x455,0x0,0x82,W_LANCE,WA_WEAPON,0x0,0x88adf39,60,7,80,8,5,0x11,0,WR_E,0x94,0x0,WE_NONE,1,0x0
Fiend Cleaver,0x3a6,0x456,0x0,0x83,W_AXE,WA_WEAPON,0x0,0x88adf39,60,8,75,10,5,0x11,0,WR_E,0x95,0x0,WE_NONE,1,0x0
Beacon Bow,0x3a7,0x457,0x0,0x84,W_BOW,WA_WEAPON,0x0,0x88adef1,60,6,85,5,5,0x22,0,WR_E,0x96,0x0,WE_NONE,1,0x0
Sieglinde,0x366,0x416,0x0,0x85,W_SWORD,WA_WEAPON | WA_UNSELLABLE | WA_LOCK_EIRIKA,0x88aef48,0x88adf39,30,16,90,9,0,0x11,0,WR_NONE,0xb0,0x0,WE_NONE,1,0x0
Battle Axe,0x388,0x439,0x0,0x86,W_AXE,WA_WEAPON,0x0,0x0,20,13,60,15,5,0x11,50,WR_B,0xb8,0x0,WE_NONE,1,0x0
Ivaldi,0x3b5,0x464,0x0,0x87,W_LIGHT,WA_WEAPON | WA_MAGIC | WA_UNSELLABLE,0x88aef54,0x88adf39,30,17,90,10,5,0x12,0,WR_S,0xbb,0x0,WE_NONE,1,0x0
Master Proof,0x3f4,0x4a5,0x4de,0x88,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,20000,WR_NONE,0xd9,0x2d,WE_NONE,0,0x0
Metis's Tome,0x3f5,0x4a6,0x4df,0x89,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,0,WR_NONE,0xdc,0x2e,WE_NONE,0,0x0
(Heaven Seal),0x403,0x4ab,0x0,0x8a,W_ITEM,WA_NONE,0x0,0x0,1,0,0,0,0,0x11,20000,WR_NONE,0x9c,0x2f,WE_NONE,0,0x0
Sharp Claw,0x39d,0x44d,0x0,0x8b,W_MONSTER,WA_WEAPON | WA_UNBREAKABLE | WA_LOCK_MONSTER,0x0,0x0,0,14,65,14,0,0x11,0,WR_NONE,0xd0,0x0,WE_NONE,0,0x0
